epoch,time(s),train_loss,test_loss,test_error(%)
001,00148,1.967854,0.00185,68.99
002,00144,1.970282,0.00179,66.74
003,00144,1.911837,0.00173,63.60
004,00143,1.909410,0.00168,59.48
005,00143,1.877873,0.00169,59.13
006,00143,1.907032,0.00168,58.69
007,00142,1.870905,0.00165,59.27
008,00143,1.855347,0.00164,57.85
009,00143,1.828878,0.00160,56.53
010,00142,1.853156,0.00161,56.63
011,00143,1.813153,0.00161,57.55
012,00144,1.791984,0.00155,54.78
013,00143,1.839504,0.00160,56.36
014,00144,1.845872,0.00161,56.69
015,00144,1.807993,0.00157,55.35
016,00143,1.786318,0.00155,55.33
017,00144,1.781487,0.00158,57.31
018,00143,1.791065,0.00157,55.24
019,00143,1.801073,0.00155,55.18
020,00144,1.784082,0.00154,54.92
021,00143,1.763365,0.00155,56.25
022,00144,1.797792,0.00155,55.02
023,00144,1.778983,0.00154,54.84
024,00143,1.773307,0.00153,54.13
025,00144,1.800517,0.00153,54.09
026,00142,1.768944,0.00153,54.75
027,00143,1.733950,0.00151,53.52
028,00143,1.740056,0.00152,54.07
029,00144,1.770014,0.00154,54.28
030,00143,1.761680,0.00152,53.87
031,00142,1.753714,0.00150,53.47
032,00144,1.747343,0.00150,53.11
033,00143,1.746805,0.00151,54.12
034,00144,1.735242,0.00151,53.41
035,00144,1.750985,0.00150,52.41
036,00142,1.721584,0.00150,52.87
037,00142,1.739501,0.00150,52.90
038,00142,1.727634,0.00150,53.29
039,00143,1.756212,0.00150,52.21
040,00143,1.713460,0.00147,51.67
041,00143,1.737688,0.00148,52.25
042,00143,1.720258,0.00148,52.38
043,00143,1.709668,0.00148,51.63
044,00145,1.710747,0.00148,51.93
045,00143,1.684614,0.00146,51.81
046,00144,1.691333,0.00146,51.71
047,00144,1.690153,0.00146,51.10
048,00145,1.712719,0.00146,51.14
049,00143,1.683896,0.00147,51.74
050,00144,1.707226,0.00146,50.98
051,00143,1.702282,0.00145,50.26
052,00143,1.721658,0.00143,50.10
053,00143,1.676163,0.00143,50.19
054,00144,1.657185,0.00143,49.87
055,00145,1.681483,0.00141,49.37
056,00144,1.674916,0.00142,50.05
057,00145,1.679633,0.00142,49.75
058,00144,1.656208,0.00141,48.83
059,00144,1.651289,0.00140,49.40
060,00143,1.663494,0.00142,49.66
061,00144,1.636378,0.00141,49.35
062,00143,1.630919,0.00140,49.69
063,00144,1.597738,0.00138,48.26
064,00144,1.648866,0.00140,48.76
065,00144,1.661428,0.00140,48.82
066,00143,1.634171,0.00138,48.31
067,00144,1.629693,0.00137,47.98
068,00143,1.625565,0.00136,47.36
069,00144,1.601390,0.00138,48.45
070,00144,1.644325,0.00137,47.51
071,00144,1.601474,0.00136,47.40
072,00142,1.602339,0.00136,48.09
073,00143,1.582610,0.00136,47.26
074,00144,1.582338,0.00136,47.06
075,00143,1.578309,0.00136,47.14
076,00145,1.594851,0.00135,46.49
077,00144,1.595029,0.00135,46.63
078,00144,1.584813,0.00134,46.81
079,00143,1.566959,0.00134,46.10
080,00144,1.580053,0.00134,46.80
081,00144,1.598553,0.00134,46.79
082,00142,1.582188,0.00133,46.38
083,00144,1.582521,0.00134,46.14
084,00143,1.581374,0.00134,46.48
085,00144,1.568340,0.00133,46.20
086,00143,1.564794,0.00134,46.37
087,00143,1.556858,0.00133,45.55
088,00144,1.587126,0.00133,46.28
089,00142,1.562283,0.00132,45.68
090,00142,1.578269,0.00132,45.65
091,00144,1.548316,0.00133,45.89
092,00143,1.564985,0.00132,45.95
093,00143,1.550014,0.00132,45.53
094,00144,1.553169,0.00132,45.42
095,00142,1.540778,0.00132,45.56
096,00143,1.542320,0.00132,45.28
097,00143,1.561797,0.00132,45.50
098,00143,1.585603,0.00132,45.42
099,00143,1.577604,0.00132,45.48
100,00143,1.554932,0.00132,45.52
101,00000,0.000000,0.00000,50.49
