epoch,time(s),train_loss,test_loss,test_error(%)
001,00104,0.837653,0.00061,21.29
002,00101,0.740524,0.00047,16.24
003,00101,0.709758,0.00045,14.72
004,00101,0.646998,0.00040,13.10
005,00101,0.601844,0.00038,12.64
006,00100,0.617782,0.00037,11.99
007,00101,0.554057,0.00035,11.72
008,00101,0.538178,0.00033,11.18
009,00101,0.522592,0.00035,11.96
010,00101,0.545370,0.00033,11.30
011,00101,0.503376,0.00032,11.31
012,00101,0.479706,0.00032,10.80
013,00101,0.511685,0.00032,10.73
014,00101,0.497598,0.00030,10.43
015,00100,0.498541,0.00032,10.96
016,00100,0.446017,0.00031,10.51
017,00101,0.469749,0.00031,10.64
018,00101,0.449318,0.00030,10.58
019,00100,0.469932,0.00030,10.44
020,00100,0.459152,0.00031,10.45
021,00101,0.438411,0.00030,10.19
022,00101,0.468517,0.00030,10.20
023,00100,0.434440,0.00029,10.27
024,00100,0.431426,0.00031,10.74
025,00101,0.423102,0.00029,9.92
026,00100,0.457834,0.00031,10.27
027,00100,0.448460,0.00029,10.12
028,00100,0.411011,0.00029,9.89
029,00100,0.411017,0.00030,10.18
030,00100,0.421967,0.00031,10.54
031,00100,0.396393,0.00028,9.97
032,00101,0.395456,0.00029,10.07
033,00101,0.394213,0.00030,10.59
034,00101,0.394859,0.00028,9.31
035,00100,0.403801,0.00029,10.11
036,00100,0.378505,0.00030,10.07
037,00100,0.403005,0.00029,9.59
038,00100,0.382755,0.00028,9.89
039,00100,0.428238,0.00030,10.18
040,00100,0.381507,0.00028,9.67
041,00100,0.384882,0.00030,10.44
042,00100,0.383002,0.00028,9.83
043,00100,0.379149,0.00027,9.60
044,00101,0.374994,0.00029,10.04
045,00101,0.354935,0.00027,9.47
046,00101,0.362295,0.00026,8.85
047,00100,0.359213,0.00028,9.42
048,00100,0.350832,0.00027,9.34
049,00100,0.354712,0.00027,9.33
050,00100,0.358451,0.00028,9.76
051,00101,0.343591,0.00027,9.26
052,00100,0.358378,0.00027,9.38
053,00100,0.338338,0.00026,8.91
054,00100,0.347006,0.00026,8.96
055,00101,0.346830,0.00026,8.84
056,00101,0.347831,0.00027,9.34
057,00100,0.323079,0.00027,8.93
058,00100,0.321135,0.00027,9.23
059,00100,0.319000,0.00027,9.24
060,00101,0.339377,0.00026,9.16
061,00101,0.318468,0.00026,9.12
062,00101,0.333107,0.00024,8.22
063,00100,0.283024,0.00024,8.39
064,00100,0.308100,0.00024,8.28
065,00101,0.314707,0.00025,8.59
066,00100,0.296425,0.00024,8.09
067,00100,0.306280,0.00025,8.73
068,00099,0.279082,0.00025,8.53
069,00100,0.282071,0.00024,8.39
070,00100,0.283590,0.00026,9.01
071,00100,0.258552,0.00023,8.03
072,00100,0.275497,0.00024,8.32
073,00100,0.256686,0.00023,8.22
074,00100,0.254990,0.00023,8.06
075,00099,0.242779,0.00023,8.01
076,00100,0.251334,0.00023,7.71
077,00100,0.252361,0.00022,7.56
078,00100,0.225537,0.00023,7.93
079,00101,0.200295,0.00022,7.55
080,00101,0.212578,0.00022,7.49
081,00101,0.227511,0.00022,7.47
082,00100,0.204562,0.00022,7.37
083,00100,0.196003,0.00022,7.58
084,00100,0.181489,0.00021,7.12
085,00100,0.220277,0.00021,7.23
086,00100,0.169629,0.00022,7.19
087,00100,0.178740,0.00021,7.07
088,00101,0.178945,0.00022,7.14
089,00100,0.158196,0.00022,7.25
090,00101,0.154878,0.00021,6.91
091,00100,0.143140,0.00021,7.02
092,00100,0.132723,0.00021,6.84
093,00100,0.139317,0.00021,6.59
094,00100,0.140441,0.00021,6.61
095,00101,0.139742,0.00021,6.52
096,00100,0.135064,0.00020,6.55
097,00100,0.129782,0.00020,6.64
098,00100,0.121335,0.00021,6.62
099,00100,0.134804,0.00020,6.62
100,00100,0.146513,0.00020,6.62
101,00000,0.000000,0.00000,12.45
