epoch,time(s),train_loss,test_loss,test_error(%)
001,00092,1.671666,0.00144,52.79
002,00089,1.496532,0.00127,45.60
003,00089,1.381729,0.00112,39.53
004,00089,1.315751,0.00103,35.38
005,00089,1.218774,0.00095,32.92
006,00089,1.176494,0.00091,30.54
007,00089,1.130041,0.00086,29.42
008,00089,1.113613,0.00085,29.51
009,00089,1.045308,0.00085,29.55
010,00089,1.034769,0.00077,26.34
011,00089,1.006615,0.00077,26.19
012,00089,0.984533,0.00073,24.89
013,00089,0.967101,0.00070,23.39
014,00089,0.901894,0.00069,23.81
015,00089,0.903831,0.00069,23.31
016,00089,0.883478,0.00066,22.12
017,00089,0.891605,0.00070,23.63
018,00089,0.899394,0.00066,22.43
019,00089,0.849021,0.00063,21.60
020,00089,0.842130,0.00064,21.32
021,00089,0.843154,0.00062,20.83
022,00089,0.786493,0.00061,20.70
023,00089,0.817128,0.00060,20.22
024,00090,0.817156,0.00059,19.79
025,00089,0.783063,0.00060,20.57
026,00089,0.768983,0.00060,20.17
027,00089,0.810233,0.00061,20.28
028,00089,0.802730,0.00057,19.39
029,00089,0.779160,0.00060,20.33
030,00089,0.745156,0.00057,18.98
031,00089,0.740131,0.00057,19.21
032,00089,0.769716,0.00056,19.31
033,00089,0.724667,0.00056,18.90
034,00089,0.726765,0.00056,18.96
035,00089,0.720724,0.00054,18.41
036,00089,0.710809,0.00054,18.44
037,00089,0.700145,0.00054,18.69
038,00089,0.736825,0.00054,18.05
039,00089,0.685271,0.00052,17.30
040,00089,0.656238,0.00053,17.94
041,00089,0.697299,0.00052,17.70
042,00089,0.644534,0.00052,17.67
043,00089,0.646999,0.00050,17.11
044,00089,0.618740,0.00053,18.00
045,00089,0.634128,0.00050,16.65
046,00089,0.613390,0.00050,16.85
047,00089,0.650577,0.00049,16.44
048,00089,0.653388,0.00050,16.78
049,00089,0.582527,0.00048,16.35
050,00089,0.613817,0.00048,16.48
051,00089,0.630433,0.00048,16.03
052,00089,0.605835,0.00048,16.45
053,00089,0.593524,0.00049,16.61
054,00089,0.614739,0.00048,16.05
055,00089,0.566104,0.00046,15.33
056,00089,0.585643,0.00046,15.88
057,00089,0.558835,0.00046,15.70
058,00089,0.576685,0.00046,15.60
059,00089,0.533007,0.00045,15.24
060,00089,0.547160,0.00045,15.11
061,00089,0.529926,0.00045,15.21
062,00089,0.520631,0.00045,15.10
063,00089,0.518693,0.00044,15.17
064,00089,0.509377,0.00044,14.99
065,00089,0.544630,0.00044,14.97
066,00089,0.544530,0.00044,14.70
067,00089,0.530120,0.00043,14.93
068,00089,0.502840,0.00043,14.61
069,00089,0.496572,0.00043,14.53
070,00089,0.473291,0.00043,14.71
071,00089,0.489225,0.00043,14.16
072,00089,0.462429,0.00043,14.64
073,00089,0.473866,0.00043,14.65
074,00089,0.479190,0.00043,14.36
075,00089,0.471044,0.00042,13.95
076,00089,0.440653,0.00041,13.81
077,00089,0.438203,0.00041,13.62
078,00089,0.428061,0.00042,13.93
079,00089,0.430014,0.00042,13.69
080,00089,0.420478,0.00041,13.68
081,00089,0.427563,0.00041,13.72
082,00089,0.418108,0.00041,13.83
083,00089,0.384037,0.00041,13.70
084,00089,0.402205,0.00040,13.46
085,00089,0.406472,0.00040,13.74
086,00089,0.402888,0.00040,13.42
087,00089,0.385036,0.00040,13.41
088,00089,0.400395,0.00040,13.38
089,00089,0.414198,0.00040,13.38
090,00089,0.358808,0.00040,13.46
091,00089,0.395134,0.00040,13.40
092,00089,0.366398,0.00040,13.53
093,00089,0.362303,0.00040,13.30
094,00089,0.357465,0.00040,13.32
095,00089,0.373916,0.00040,13.43
096,00089,0.365430,0.00040,13.50
097,00089,0.357927,0.00040,13.56
098,00089,0.340687,0.00040,13.28
099,00089,0.372661,0.00040,13.26
100,00089,0.341733,0.00040,13.46
101,00000,0.000000,0.00000,18.96
