epoch,time(s),train_loss,test_loss,test_error(%)
001,00100,1.105381,0.00084,27.02
002,00096,0.969788,0.00068,22.33
003,00097,0.894617,0.00066,22.18
004,00097,0.862977,0.00061,20.12
005,00097,0.807208,0.00058,19.22
006,00097,0.811617,0.00058,19.32
007,00097,0.772516,0.00055,17.85
008,00097,0.769224,0.00054,18.36
009,00098,0.731679,0.00052,16.74
010,00097,0.740861,0.00058,19.42
011,00097,0.703723,0.00052,17.43
012,00097,0.724359,0.00049,16.35
013,00097,0.704620,0.00050,16.21
014,00097,0.662386,0.00049,15.91
015,00098,0.659598,0.00049,16.81
016,00097,0.651261,0.00047,15.44
017,00097,0.661862,0.00049,16.48
018,00097,0.669647,0.00048,16.19
019,00097,0.633187,0.00047,15.63
020,00097,0.641485,0.00046,15.14
021,00098,0.638451,0.00048,15.86
022,00097,0.605308,0.00047,15.86
023,00097,0.615754,0.00046,15.82
024,00097,0.618703,0.00046,15.59
025,00098,0.614967,0.00045,15.05
026,00098,0.595069,0.00046,14.94
027,00098,0.645139,0.00046,15.69
028,00098,0.631491,0.00045,14.84
029,00098,0.633103,0.00044,14.58
030,00097,0.591394,0.00044,14.29
031,00097,0.580216,0.00044,14.86
032,00098,0.585292,0.00045,14.83
033,00097,0.587874,0.00044,15.10
034,00097,0.567746,0.00045,15.13
035,00097,0.568894,0.00044,14.89
036,00097,0.583271,0.00043,14.61
037,00097,0.548162,0.00044,14.77
038,00097,0.571681,0.00043,14.26
039,00098,0.538298,0.00043,14.15
040,00098,0.515902,0.00044,14.51
041,00097,0.553103,0.00042,13.63
042,00097,0.522668,0.00043,14.53
043,00096,0.523219,0.00041,13.75
044,00097,0.501228,0.00042,14.44
045,00097,0.493607,0.00041,13.38
046,00097,0.511655,0.00041,13.77
047,00098,0.482664,0.00040,13.46
048,00097,0.540366,0.00040,13.28
049,00097,0.489406,0.00041,13.97
050,00097,0.471897,0.00040,13.95
051,00097,0.521028,0.00041,14.09
052,00097,0.489938,0.00041,13.62
053,00097,0.478623,0.00039,13.18
054,00097,0.486066,0.00038,12.83
055,00097,0.440916,0.00039,12.89
056,00097,0.450586,0.00038,12.96
057,00097,0.433961,0.00039,12.88
058,00097,0.436022,0.00038,12.84
059,00097,0.433354,0.00037,12.43
060,00097,0.419433,0.00038,12.61
061,00097,0.428380,0.00039,13.04
062,00097,0.408182,0.00037,12.24
063,00098,0.406020,0.00037,12.25
064,00097,0.418132,0.00038,12.78
065,00097,0.397777,0.00038,12.74
066,00097,0.393858,0.00038,12.40
067,00097,0.397164,0.00037,12.52
068,00097,0.387888,0.00038,12.47
069,00096,0.361835,0.00037,12.38
070,00097,0.362343,0.00038,12.56
071,00097,0.358257,0.00037,12.24
072,00097,0.338259,0.00036,12.32
073,00098,0.353187,0.00037,12.14
074,00097,0.346982,0.00036,11.87
075,00098,0.353931,0.00037,12.12
076,00097,0.321589,0.00036,11.76
077,00098,0.307305,0.00036,11.57
078,00098,0.294222,0.00036,11.90
079,00097,0.308320,0.00037,11.86
080,00097,0.312748,0.00036,11.92
081,00098,0.280307,0.00036,11.84
082,00097,0.270731,0.00037,11.91
083,00098,0.276253,0.00036,11.86
084,00097,0.273081,0.00036,11.75
085,00098,0.281822,0.00036,11.61
086,00098,0.249141,0.00036,11.55
087,00097,0.264731,0.00036,11.29
088,00097,0.257326,0.00036,11.24
089,00097,0.248421,0.00036,11.49
090,00097,0.236810,0.00036,11.42
091,00097,0.235488,0.00036,11.48
092,00097,0.230102,0.00036,11.37
093,00098,0.234929,0.00036,11.39
094,00097,0.226347,0.00036,11.22
095,00097,0.269046,0.00036,11.23
096,00098,0.243964,0.00036,11.20
097,00098,0.233481,0.00036,11.16
098,00097,0.225497,0.00036,11.05
099,00097,0.260013,0.00036,11.14
100,00097,0.227943,0.00036,11.11
101,00000,0.000000,0.00000,16.75
