epoch,time(s),train_loss,test_loss,test_error(%)
001,00098,1.300090,0.00120,42.62
002,00093,1.017980,0.00091,31.42
003,00094,0.905200,0.00075,25.28
004,00094,0.842687,0.00068,23.75
005,00093,0.810809,0.00079,26.94
006,00093,0.748120,0.00063,22.31
007,00094,0.714838,0.00054,17.71
008,00093,0.701349,0.00054,18.86
009,00093,0.666793,0.00053,17.87
010,00093,0.709887,0.00057,18.91
011,00093,0.668609,0.00054,17.72
012,00093,0.667513,0.00056,19.54
013,00093,0.670671,0.00057,19.19
014,00093,0.661706,0.00055,18.34
015,00093,0.618035,0.00046,15.65
016,00093,0.596309,0.00051,17.62
017,00093,0.586255,0.00054,18.19
018,00093,0.606795,0.00056,18.84
019,00093,0.643510,0.00060,19.82
020,00093,0.591728,0.00073,24.46
021,00093,0.596932,0.00045,14.80
022,00093,0.602477,0.00047,15.57
023,00093,0.578814,0.00053,18.03
024,00093,0.578226,0.00051,17.31
025,00094,0.565986,0.00043,14.64
026,00094,0.566900,0.00040,13.17
027,00093,0.539542,0.00043,14.08
028,00093,0.575716,0.00047,15.59
029,00093,0.547654,0.00052,17.09
030,00093,0.531012,0.00043,14.79
031,00093,0.526630,0.00048,16.00
032,00093,0.548123,0.00053,18.63
033,00093,0.501202,0.00041,13.96
034,00093,0.549969,0.00038,13.01
035,00094,0.549815,0.00037,12.16
036,00093,0.541458,0.00040,13.40
037,00093,0.522713,0.00041,13.57
038,00093,0.534183,0.00043,14.09
039,00093,0.485139,0.00042,13.86
040,00094,0.478125,0.00035,11.49
041,00093,0.506675,0.00040,13.57
042,00093,0.549213,0.00039,13.26
043,00093,0.522069,0.00041,13.59
044,00093,0.497174,0.00035,11.53
045,00093,0.470851,0.00040,13.22
046,00093,0.500305,0.00035,11.88
047,00093,0.461165,0.00034,11.49
048,00093,0.476032,0.00035,12.00
049,00094,0.496589,0.00032,10.39
050,00093,0.473428,0.00035,11.98
051,00094,0.464517,0.00031,10.25
052,00094,0.432820,0.00029,9.83
053,00093,0.438949,0.00034,11.53
054,00093,0.430776,0.00033,11.16
055,00093,0.450631,0.00032,10.30
056,00093,0.422234,0.00033,10.99
057,00093,0.409597,0.00032,10.86
058,00093,0.427343,0.00031,10.55
059,00093,0.441276,0.00030,9.76
060,00093,0.410530,0.00032,10.97
061,00093,0.395829,0.00031,10.23
062,00094,0.381915,0.00029,9.68
063,00093,0.380234,0.00029,10.01
064,00094,0.384421,0.00026,9.01
065,00093,0.355060,0.00027,8.95
066,00094,0.363745,0.00025,8.45
067,00093,0.371320,0.00028,9.38
068,00093,0.336099,0.00026,8.78
069,00093,0.341073,0.00029,9.80
070,00094,0.335323,0.00023,7.48
071,00093,0.332119,0.00024,8.10
072,00094,0.297954,0.00020,6.59
073,00093,0.307824,0.00022,7.22
074,00093,0.309745,0.00022,7.53
075,00093,0.277070,0.00023,7.52
076,00093,0.292537,0.00024,7.95
077,00093,0.285489,0.00021,7.03
078,00093,0.274474,0.00021,7.08
079,00093,0.223982,0.00020,6.77
080,00093,0.233247,0.00020,6.68
081,00094,0.218900,0.00019,6.49
082,00094,0.220062,0.00018,6.11
083,00094,0.193721,0.00018,5.86
084,00093,0.204000,0.00018,5.99
085,00094,0.208189,0.00017,5.61
086,00093,0.180147,0.00018,5.87
087,00094,0.173371,0.00016,5.46
088,00093,0.188599,0.00016,5.51
089,00093,0.152045,0.00015,4.91
090,00093,0.123716,0.00015,5.05
091,00093,0.148447,0.00015,5.06
092,00093,0.138040,0.00015,4.92
093,00093,0.114738,0.00015,4.85
094,00093,0.132319,0.00015,5.00
095,00094,0.104989,0.00015,4.81
096,00094,0.106757,0.00014,4.74
097,00093,0.110205,0.00015,4.67
098,00094,0.132881,0.00015,4.72
099,00094,0.106777,0.00015,4.62
100,00093,0.106161,0.00015,4.67
101,00000,0.000000,0.00000,11.00
